X  1.44924687, cosTheta -0.40189248, sinTheta  0.91568687,
X  1.44927903, cosTheta -0.40297162, sinTheta  0.91521247,
X  1.44931103, cosTheta -0.40404670, sinTheta  0.91473836,
X  1.44934288, cosTheta -0.40511771, sinTheta  0.91426453,
X  1.44937457, cosTheta -0.40618467, sinTheta  0.91379101,
X  1.44940611, cosTheta -0.40724758, sinTheta  0.91331780,
X  1.44943751, cosTheta -0.40830643, sinTheta  0.91284493,
X  1.44946876, cosTheta -0.40936124, sinTheta  0.91237239,
X  1.44949988, cosTheta -0.41041201, sinTheta  0.91190021,
X  1.44953085, cosTheta -0.41145873, sinTheta  0.91142839,
X  1.44956170, cosTheta -0.41250143, sinTheta  0.91095695,
X  1.44959241, cosTheta -0.41354009, sinTheta  0.91048591,
X  1.44962299, cosTheta -0.41457473, sinTheta  0.91001527,
